,City,Date,Cloudiness,Temperature,Humidity,Wind speed,Latitude,Longitude
0,Maldonado,1571261113,75,60.8,82,13.87,-34.91,-54.96
1,Victoria,1571261113,75,77,94,7.74,5.28,115.24
2,Hilo,1571261113,20,75.47,54,6.93,19.71,-155.08
3,Rikitea,1571261114,100,73.94,76,3.73,-23.12,-134.97
4,Bambous Virieux,1571261114,75,68.76,88,14.99,-20.34,57.76
5,Ibra,1571261115,0,79.54,38,1.8,22.69,58.55
6,Busselton,1571261115,1,39.31,66,4.05,-33.64,115.35
7,Ushuaia,1571261115,0,57.74,19,13.87,-54.81,-68.31
8,Narsaq,1571261115,75,30.2,63,1.12,60.91,-46.05
9,Penon Blanco,1571261116,45,73.26,61,16.23,24.79,-104.04
10,Sagua de Tanamo,1571261116,81,78.82,87,2.83,20.58,-75.24
11,Lebu,1571261116,40,59,58,9.17,8.96,38.73
12,Punta Arenas,1571261116,4,51.69,70,12.75,-53.16,-70.91
13,Makakilo City,1571261117,90,79.92,88,8.05,21.35,-158.09
14,Albany,1571261117,90,53.92,71,5.82,42.65,-73.75
15,Develi,1571261117,0,50,87,1.12,38.39,35.49
16,Hambantota,1571261117,100,80.96,76,5.66,6.12,81.12
17,Matara,1571261118,96,60.06,80,0.88,-3.48,29.48
18,Parakai,1571261118,100,58.89,82,14.99,-36.66,174.44
19,Chokurdakh,1571261118,0,9.77,88,8.57,70.62,147.9
20,East London,1571261118,0,67.86,85,14.66,-33.02,27.91
21,Puerto Ayora,1571261119,20,73.29,57,20.8,-0.74,-90.35
22,Bluff,1571261119,55,72.48,76,8.27,-23.58,149.07
23,Ilulissat,1571261119,100,21.2,62,2.24,69.22,-51.1
24,Hithadhoo,1571261119,91,81.23,80,13.35,-0.6,73.08
25,Isangel,1571261120,20,71.6,73,16.52,-19.55,169.27
26,Arlit,1571261120,0,94.68,14,6.09,18.74,7.39
27,Kapaa,1571261120,75,80.02,83,12.75,22.08,-159.32
28,Kodiak,1571261120,1,54.75,47,4.7,39.95,-94.76
29,Dikson,1571261121,100,26.1,70,15.69,73.51,80.55
30,Petropavlovsk-Kamchatskiy,1571261121,4,30.2,80,6.71,53.05,158.65
31,Atuona,1571261121,4,79.68,71,11,-9.8,-139.03
32,Inuvik,1571261121,20,24.8,73,9.17,68.36,-133.71
33,North Bend,1571261122,90,57.11,87,16.11,43.41,-124.22
34,Pozo Colorado,1571261122,100,83.7,49,4.19,-23.49,-58.8
35,Mahebourg,1571261122,75,68.72,88,14.99,-20.41,57.7
36,Hamilton,1571261122,75,50.76,81,12.75,43.26,-79.87
37,Mar del Plata,1571261123,0,55.26,56,12.15,-46.43,-67.52
38,Bethel,1571261123,40,33.76,86,11.41,60.79,-161.76
39,Barrow,1571261123,95,60.57,63,10.13,-38.31,-60.23
40,Port Elizabeth,1571261123,90,62.78,93,26.4,39.31,-74.98
41,Cachoeira,1571261123,31,71.83,74,7.22,-12.6,-38.97
42,Robe,1571261124,94,49.3,89,3.48,7.12,40.01
43,Longyearbyen,1571261124,75,32,97,16.11,78.22,15.63
44,Pacific Grove,1571261124,1,65.75,63,6.93,36.62,-121.92
45,Shimoda,1571261124,75,60.19,82,4.7,34.7,138.93
46,Cherskiy,1571261125,18,21.52,94,14.85,68.75,161.3
47,La Maddalena,1571261125,0,63.79,72,4.7,39.15,9.02
48,El Tigre,1571261125,86,85.84,62,7.19,8.89,-64.25
49,Znamenskoye,1571261125,97,37.27,92,8.94,57.13,73.82
50,Lazaro Cardenas,1571261126,75,71.6,49,11.08,28.39,-105.62
51,Margate,1571261126,20,44.46,87,9.17,-43.03,147.26
52,Palmer,1571261126,40,53.28,58,20.8,-34.85,139.16
53,Kruisfontein,1571261126,31,60.93,45,4.65,-34,24.73
54,Chegdomyn,1571261127,0,24.22,78,1.5,51.13,133.04
55,Sangar,1571261127,100,21.18,88,14.07,63.92,127.47
56,Chifeng,1571261127,98,38.25,27,2.18,42.27,118.96
57,Balabac,1571261127,68,81.48,78,9.37,7.99,117.06
58,Kovdor,1571261127,91,28.96,96,1.8,67.56,30.47
59,Fortuna,1571261128,90,59.32,55,5.31,40.6,-124.16
60,Padang,1571261188,61,67.46,96,1.63,-0.92,100.36
61,Alta Floresta,1571261189,40,86,62,5.82,-9.87,-56.08
62,Mataura,1571261189,93,52,76,11.01,-46.19,168.86
63,Avarua,1571261190,74,77,73,13.87,-21.21,-159.78
64,Faya,1571261190,20,66.2,29,12.75,18.39,42.45
65,Russell,1571261190,1,65.26,29,11.41,38.9,-98.86
66,Rabo de Peixe,1571261191,40,65.61,93,16.11,37.8,-25.58
67,Linares,1571261191,48,64.36,47,3.63,-35.85,-71.6
68,Lessines,1571261192,100,56.55,93,16.11,50.71,3.83
69,Brandon,1571261192,75,48.15,53,3.36,43.59,-96.57
70,Meulaboh,1571261192,100,80.67,81,9.86,4.14,96.13
71,Waipawa,1571261192,8,57.33,72,12.76,-39.94,176.59
72,Jamestown,1571261193,1,43.07,91,11.93,-33.21,138.6
73,Piney Green,1571261193,40,65.93,88,4.7,35.09,-78.48
74,Popondetta,1571261193,48,63.09,51,4.4,-8.77,148.24
75,Cayenne,1571261193,20,84.2,74,8.05,4.94,-52.33
76,Rongcheng,1571261194,71,56.75,60,6.55,37.16,122.42
77,Yellowknife,1571261194,90,33.24,99,9.17,62.45,-114.38
78,Taoudenni,1571261194,0,91.69,19,10.09,22.68,-3.98
79,Saskylakh,1571261194,47,4.32,97,6.87,71.97,114.09
80,Aberdeen,1571261195,90,55.42,100,14.99,46.98,-123.82
81,Vaini,1571261195,100,69.91,95,6.64,15.34,74.49
82,Vostok,1571261195,0,23.67,91,4.9,46.45,135.83
83,Poum,1571261196,3,51.08,72,0.94,41.28,20.71
84,Touros,1571261196,20,77,73,6.93,-5.2,-35.46
85,Adrar,1571261196,100,86,17,4.7,27.87,-0.29
86,Hobart,1571261196,20,44.47,87,9.17,-42.88,147.33
87,Muros,1571261196,90,61.63,100,6.93,42.77,-9.06
88,Khor,1571261197,0,29.68,76,5.85,47.88,134.96
89,Yanam,1571261197,83,76.39,92,3.11,16.73,82.22
90,Sharlyk,1571261197,84,34.09,85,5.96,52.93,54.74
91,Souillac,1571261197,90,59.32,82,5.82,45.6,-0.6
92,Eyl,1571261198,54,81.19,79,9.72,7.98,49.82
93,Cape Town,1571261198,0,62.8,93,11.41,-33.93,18.42
94,Naryan-Mar,1571261198,100,26.71,75,4.4,67.67,53.09
95,Namatanai,1571261199,100,81.27,78,8.17,-3.66,152.44
96,Zhangjiakou,1571261199,99,39.74,43,0.76,40.77,114.88
97,Krasnoshchekovo,1571261199,100,46.15,81,21.4,51.67,82.73
98,Biggar,1571261199,0,50.92,52,2.08,52.06,-107.98
99,Beringovskiy,1571261200,100,37.63,73,3.76,63.05,179.32
100,Thompson,1571261200,90,33.8,74,8.05,55.74,-97.86
101,Birjand,1571261200,0,44.6,22,6.93,32.86,59.22
102,Maceio,1571261200,75,78.8,69,10.29,-9.67,-35.74
103,Dekar,1571261200,45,74.32,36,6.58,-21.53,21.93
104,Jumla,1571261201,25,40.69,93,2.54,29.28,82.18
105,Manado,1571261201,20,73.4,94,2.8,1.49,124.85
106,Udachnyy,1571261201,90,33.8,100,2.24,66.42,112.4
107,Destin,1571261201,75,77.7,69,12.75,30.39,-86.5
108,Slave Lake,1571261202,1,42.8,87,8.05,55.28,-114.77
109,Srednekolymsk,1571261202,98,5.14,97,4.14,67.46,153.71
110,Pemberton,1571261202,91,38.55,96,1.01,-34.44,116.03
111,Saint-Michel-des-Saints,1571261203,100,54,6,1.01,46.68,-73.92
112,Bredasdorp,1571261203,0,60.75,87,2.24,-34.53,20.04
113,Conselheiro Lafaiete,1571261203,40,78.8,44,6.93,-20.66,-43.79
114,Callaguip,1571261204,40,78.8,88,14.99,18.07,120.49
115,Avanigadda,1571261204,71,75.06,93,5.06,16.02,80.92
116,Sorland,1571261204,0,32,61,3.36,67.67,12.69
117,Ust-Kan,1571261204,100,34.16,89,10.73,50.93,84.77
118,Aksu,1571261205,28,41,86,11.18,52.04,76.93
119,Lakselv,1571261205,0,23.4,85,4.7,70.05,24.96
120,Shaki,1571261265,0,50.99,37,11.41,39.56,46
121,Ternovka,1571261265,0,44.69,64,6.9,51.69,41.59
122,Tuktoyaktuk,1571261266,20,23,85,14.99,69.44,-133.03
123,Marsaxlokk,1571261266,0,70.63,73,3.36,35.84,14.54
124,Fairbanks,1571261266,40,30.11,50,8.05,64.84,-147.72
125,Angoche,1571261267,0,74.1,79,7,-16.23,39.91
126,Pimentel,1571261267,100,80.73,77,2.9,-3.7,-45.5
127,Zhezkazgan,1571261267,49,44.62,61,15.82,47.8,67.71
128,Port Lincoln,1571261267,3,47.53,78,8.32,-34.72,135.86
129,Lyubim,1571261268,100,36.79,82,9.98,58.36,40.69
130,Great Yarmouth,1571261268,87,48.04,93,3.36,52.61,1.73
131,Georgetown,1571261268,40,85.05,74,11.41,6.8,-58.16
132,Ahipara,1571261268,75,57.43,77,14.29,-35.17,173.16
133,Grand-Lahou,1571261268,100,78.57,88,9.95,5.24,-5
134,Lashio,1571261269,7,61.77,98,2.09,22.93,97.75
135,Sao Filipe,1571261269,13,78.39,82,4.01,14.9,-24.5
136,Aksay,1571261269,71,39.4,73,4.87,51.17,53.01
137,Morozovsk,1571261269,0,51.85,76,10.94,48.35,41.83
138,Jorpeland,1571261270,40,51.42,71,8.05,59.02,6.04
139,Vila Franca do Campo,1571261270,40,65.61,93,16.11,37.72,-25.43
140,Tiksi,1571261270,100,23.13,96,5.03,71.64,128.87
141,Butaritari,1571261270,89,81.54,72,2.97,3.07,172.79
142,Tasiilaq,1571261271,0,35.6,51,3.71,65.61,-37.64
143,Yenagoa,1571261271,95,75.15,94,3.29,4.92,6.26
144,Leshukonskoye,1571261271,100,30.54,95,3.29,64.9,45.76
145,Castro,1571261272,20,53.6,54,16.11,-42.48,-73.76
146,Matagami,1571261272,75,68,88,3.36,9.67,8.4
147,Piterka,1571261272,21,41.86,63,6.29,50.68,47.44
148,Kosh-Agach,1571261272,92,28.31,58,4.57,49.99,88.66
149,Rimouski,1571261273,75,46.78,65,8.05,48.45,-68.52
150,Nikolskoye,1571261273,90,41.94,81,8.95,59.7,30.79
151,Sendhwa,1571261273,17,73.94,59,4.9,21.69,75.09
152,Pevek,1571261273,31,30.61,78,6.27,69.7,170.27
153,Quatre Cocos,1571261274,75,68.81,88,14.99,-20.21,57.76
154,Gusev,1571261274,100,56.71,76,15.89,54.59,22.2
155,Sainte-Rose,1571261274,90,59.2,54,16.11,45.61,-73.79
156,The Valley,1571261274,20,83.95,65,4.7,18.22,-63.06
157,Klaksvik,1571261275,100,48.2,100,9.17,62.23,-6.59
158,Upernavik,1571261275,100,28.09,86,6.42,72.79,-56.15
159,Lichuan,1571261275,100,49.05,95,2.24,30.3,108.94
160,Pangnirtung,1571261275,90,33.8,64,5.74,66.15,-65.72
161,Aklavik,1571261276,20,24.8,73,9.17,68.22,-135.01
162,Hobyo,1571261276,91,80.13,73,8.41,5.35,48.53
163,Husavik,1571261276,100,39,94,3,50.56,-96.99
164,Kizner,1571261276,100,33.73,84,3.13,56.27,51.51
165,Ribeira Brava,1571261277,20,64.11,77,2.24,32.65,-17.07
166,Grindavik,1571261277,99,47.35,75,9.17,63.84,-22.43
167,Naze,1571261277,75,71.6,100,3.36,5.43,7.07
168,Nerja,1571261278,0,58.39,37,5.82,36.75,-3.88
