,City,Date,Cloudiness,Temperature,Humidity,Wind speed,Latitude,Longitude
0,Katsuura,1547955000,75,53.6,67,24.16,33.93,134.5
1,Kindu,1547955910,64,70.74,99,2.82,-2.95,25.92
2,Margate,1547953200,75,77,36,11.41,-43.03,147.26
3,Khatanga,1547955911,68,-11.34,74,7.96,71.98,102.47
4,Saint-Philippe,1547955300,90,-7.55,78,3.36,45.36,-73.48
5,Ushuaia,1547953200,40,48.2,57,26.4,-54.81,-68.31
6,Provideniya,1547955911,88,14.18,100,3.83,64.42,-173.23
7,Butaritari,1547955911,80,83.48,100,13,3.07,172.79
8,Tsiroanomandidy,1547955912,56,65.57,100,3.6,-18.77,46.05
9,Boa Vista,1547953200,0,82.4,65,11.41,2.82,-60.67
10,Rikitea,1547955913,92,80.15,100,11.21,-23.12,-134.97
11,Tuatapere,1547955913,92,55.53,100,28.66,-46.13,167.69
12,Okha,1547955913,8,0.18,96,18.25,53.59,142.95
13,Carnarvon,1547955914,0,48.06,53,10.76,-30.97,22.13
14,New Norfolk,1547953200,75,77,36,11.41,-42.78,147.06
15,Faanui,1547955914,32,83.79,100,11.54,-16.48,-151.75
16,Morwell,1547955914,0,76.73,62,3.38,-38.24,146.4
17,Port Blair,1547955915,48,82.26,100,16.02,11.67,92.75
18,Barrow,1547955915,0,67.46,62,14.23,-38.31,-60.23
19,Vaini,1547953200,0,66.16,52,5.82,15.34,74.49
20,Port Alfred,1547955916,92,61.56,100,5.61,-33.59,26.89
21,Vestmannaeyjar,1547955916,20,35.69,100,18.81,63.44,-20.27
22,Hobart,1547953200,75,77,36,11.41,-42.88,147.33
23,Kamyzyak,1547953200,75,37.4,59,8.95,46.12,48.08
24,Mar del Plata,1547955917,0,76.28,30,19.26,-46.43,-67.52
25,Orocue,1547955917,44,84.2,48,5.17,4.79,-71.34
26,Camargo,1547955917,0,37.04,38,2.71,27.69,-105.17
27,Oistins,1547953200,40,77,78,12.75,13.07,-59.53
28,Bredasdorp,1547953200,12,53.6,76,2.24,-34.53,20.04
29,Liuli,1547955918,76,76.37,100,7.63,-11.1,34.65
30,Wamba,1547955918,48,68.72,85,2.04,2.14,27.99
31,Mataura,1547955918,92,55.31,95,25.3,-46.19,168.86
32,Gladstone,1547953200,0,87.8,48,18.34,-23.84,151.26
33,Smithers,1547953200,90,37.4,78,12.75,54.78,-127.17
34,Vardo,1547954400,90,33.58,84,8.05,39.62,-77.74
35,Arraial do Cabo,1547955920,32,76.91,91,14.45,-22.97,-42.02
36,Puerto Ayora,1547955920,92,77.27,100,7.63,-0.74,-90.35
37,Half Moon Bay,1547952960,75,60.3,62,3.36,37.46,-122.43
38,Meadville,1547953560,90,23.81,95,11.41,41.64,-80.15
39,Avarua,1547953200,75,84.2,79,2.24,-21.21,-159.78
40,Bethel,1547955240,90,11.82,85,3.36,60.79,-161.76
41,Geraldton,1547953200,20,-29.21,66,3.36,49.72,-86.95
42,Kodar,1547955922,0,69.93,88,4.61,16.98,79.97
43,Nanortalik,1547955922,20,23.99,91,12.44,60.14,-45.24
44,Albany,1547954220,90,16.34,79,5.82,42.65,-73.75
45,Savannakhet,1547953200,20,77,65,4.7,16.57,104.76
46,Narsaq,1547952600,64,14,66,6.93,60.91,-46.05
47,East London,1547953200,0,60.8,67,4.7,-33.02,27.91
48,Iwanai,1547955923,88,32.13,100,6.62,42.97,140.51
49,Itarema,1547955924,32,76.19,96,4.94,-2.92,-39.92
50,Maragogi,1547955924,92,76.1,100,3.38,-9.01,-35.22
51,Hilo,1547952780,20,77,68,6.93,19.71,-155.08
52,Mahebourg,1547953200,40,78.8,83,3.36,-20.41,57.7
53,El Tocuyo,1547955924,0,62.19,92,0.69,9.79,-69.8
54,Hami,1547955925,56,18.32,81,0.69,42.84,93.51
55,Atuona,1547955879,56,78.8,100,14.9,-9.8,-139.03
56,Thompson,1547953200,5,-32.81,73,2.82,55.74,-97.86
57,Jamestown,1547955925,0,70.56,82,5.17,-33.21,138.6
58,Honiara,1547955926,56,82.94,84,3.38,-9.43,159.96
59,Ostrovnoy,1547955926,0,-12.65,77,2.82,68.05,39.51
60,Lebu,1547955986,0,35.06,77,2.59,8.96,38.73
61,Busselton,1547955986,0,82.26,66,4.61,-33.64,115.35
62,Guerrero Negro,1547955986,0,61.16,44,9.19,27.97,-114.04
63,Seymchan,1547955987,20,-37.89,74,2.59,62.93,152.39
64,Coquimbo,1547953200,20,59,87,6.93,-29.95,-71.34
65,Natchez,1547952960,90,37.31,75,18.34,31.56,-91.4
66,Beloha,1547955962,44,75.65,89,2.93,-25.17,45.06
67,Caranavi,1547955987,24,64.22,92,1.59,-15.83,-67.57
68,Hermanus,1547955988,8,45.09,96,4.5,-34.42,19.24
69,Amapa,1547953200,20,75.2,83,2.24,15.09,-87.97
70,Poum,1547955000,90,33.8,100,1.12,41.28,20.71
71,Port Hedland,1547953200,0,96.8,56,12.75,-20.31,118.58
72,Constitucion,1547952540,5,46.4,39,4.7,23.99,-104.67
73,Punta Arenas,1547953200,20,48.2,86,23.04,-53.16,-70.91
74,Kuandian,1547955989,0,18.18,28,6.73,40.73,124.78
75,Tuy Hoa,1547955989,88,73.53,100,6.96,13.08,109.3
76,Xining,1547955990,76,10.76,73,2.59,36.62,101.77
77,Tasiilaq,1547952600,8,24.8,79,5.82,65.61,-37.64
78,Yellowknife,1547954400,90,-5.81,76,10.29,62.45,-114.38
79,Mogadishu,1547955901,0,78.26,100,23.17,2.04,45.34
80,Concepcion del Oro,1547955990,0,37.22,71,2.59,24.63,-101.42
81,Bluff,1547955991,0,92.34,38,12.66,-23.58,149.07
82,Kincardine,1547954400,90,36.28,93,6.93,56.07,-3.72
83,Ponta do Sol,1547955890,36,67.46,93,1.25,-20.63,-46
84,Bada,1547955991,20,68.49,49,5.61,12.41,4.51
85,Leningradskiy,1547955992,32,-8.51,99,16.69,69.38,178.42
86,Kastamonu,1547955992,12,9.05,76,4.05,41.38,33.78
87,Kifri,1547955992,0,19.13,67,2.93,34.69,44.96
88,Csengod,1547954100,90,30.2,100,4.7,46.72,19.27
89,Cabo San Lucas,1547952360,5,68,64,3.6,22.89,-109.91
90,Meulaboh,1547955993,64,78.62,100,5.17,4.14,96.13
91,Bam,1547955993,0,24.21,67,3.15,29.11,58.36
92,Sambava,1547955994,92,75.74,100,16.46,-14.27,50.17
93,Kamenka,1547955994,76,20.48,89,11.65,53.19,44.05
94,Cidreira,1547955994,100,69.98,94,11.54,-30.17,-50.22
95,Behbahan,1547953200,0,33.8,78,4.16,30.59,50.24
96,Kapaa,1547952960,1,78.17,68,12.75,22.08,-159.32
97,Buraydah,1547953200,0,42.8,87,4.7,26.33,43.97
